id_seq,gene_name,alt_gene_name,coment,defining,organism,taxonomy,protein_name,enzyme,Pathway_all
7OFY_1|Chains,7NBZ_A,,"component of the transport system SQ degradation, binding protein",,Agrobacterium tumefaciens C58,358.0,7NBZ_A,SQ binding protein,Sulfo-TK
tr|J0N3W2|J0N3W2_CLOS9,WP_009065225.1,,"it can be realted to SQ-degradation pathway, but not need to involve in co-localization",,Clostridium sp. MSTE9,1105031.0,WP_009065225.1,,
WP_017963854.1,WP_017963854.1,,"it can be realted to SQ-degradation pathway, but not need to involve in co-localization",,Rhizobium,379.0,WP_017963854.1,NADH-quinone oxidoreductase subunit NuoH,proteins that were significantly increased in SQ-fed bacteria
WP_017964386.1,WP_017964386.1,,above,,Rhizobium,379.0,WP_017964386.1,citrate synthase/methylcitrate synthase,proteins that were significantly increased in SQ-fed bacteria
WP_017965793.1,WP_017965793.1,,above,,Rhizobium,379.0,WP_017965793.1,NAD(P)-dependent oxidoreductase,proteins that were significantly increased in SQ-fed bacteria
XKS62012.1,csqR,,,,Escherichia coli str. K-12 substr. MG1655,511145.0,CsqR,DeoR/GlpR family DNA-binding transcription regulator,
NP_418320.2,csqR,,,,Escherichia coli str. K-12 substr. MG1655,511145.0,CsqR,sulfo-EMP regulator,sulfo-EMP
WP_017967310.1,sedA,,,yes,Rhizobium,379.0,SedA,SQ dehydrogenase,sulfo-ED
WP_017967307.1,sedC,,name from article https://d197for5662m48.cloudfront.net/documents/publicationstatus/138329/preprint_pdf/6e49889a3b04aee87ce064420b6a5667.pdf ,yes,Rhizobium,379.0,SedC,SG dehydratase,sulfo-ED
WP_017967308.1,sedD,,,yes,Rhizobium,379.0,SedD,KDSG aldolase,sulfo-ED
tr|A0A2P6MHT3|A0A2P6MHT3_ALKUR,slaB,,,,Alkalicoccus urumqiensis,1548213.0,SlaB,Aldehyde dehydrogenase,"sulfo-EMP, TAL, ED"
sp|A0A7W3RCJ3|SLAD_PRIAR,slaB,"slaD, sftD",this can be paraloges of slaD,,Priestia aryabhattai,412384.0,SlaB,3-sulfolactaldehyde dehydrogenase,"Sulfo-TAL, EMP, ED"
sp|D5E1S7.1|SLAD_PRIM1,slaB,"sftD, slaD","""seems the slaB and slaD are paraloges""",,Priestia megaterium (strain ATCC 12872 / QMB1551),545693.0,SlaB ,"
3-sulfolactaldehyde dehydrogenase","sulfo-EMP, TAL, ED"
sp|A9CEY9.1|SMOF_AGRFC,smoF,smoF,transport component of sulfo-ASDO pathway,,Agrobacterium tumefaciens,358.0,SmoF,6-dehydroglucose reductase,"sulfo-ASDO, sulfo-ASMO"
MCD4849452.1,sqgA,,retrived from https://pmc.ncbi.nlm.nih.gov/articles/PMC8873060/,,Arthrobacter sp. AK01,,SqgA,Oxidoreductase,sulfo-EMP
sp|A0A2P6MHY1.1|SQIA_ALKUR,sqiA,,,yes,Alkalicoccus urumqiensis,1548213.0,SqiA,Sulfofructosephosphate aldolase,sulfo-EMP
sp|A0A2P6MHY1|SQIA_ALKUR,sqiA,,,yes,Alkalicoccus urumqiensis,1548213.0,SqiA,Sulfofructosephosphate aldolase,sulfo-EMP
sp|A0A2P6MHT4|SQIK_ALKUR,sqiK,,,yes,Alkalicoccus urumqiensis,1548213.0,SqiK,Sulfofructose kinase,sulfo-EMP
sp|A0A2P6MHT4.1|SQIK_ALKUR,sqiK,,,yes,Alkalicoccus urumqiensis,1548213.0,SqiK,Sulfofructose kinase,sulfo-EMP
tr|A0A1A9EZ58|A0A1A9EZ58_9GAMM,sqoD,,,yes,Marinobacterium aestuarii,1821621.0,SqoD,TauD/TfdA-like domain-containing protein,sulfo-ASDO
sp|A9CEY7.1|SQMOX_AGRFC,squD,smoC,,yes,Agrobacterium fabrum str. C58,176299.0,SquD,Sulfoquinovose monooxygenase,sulfo-ASMO
sp|Q2G5J4.1|SQMOX_NOVAD,squD,smoC,,yes,Novosphingobium aromaticivorans,279238.0,SquD,Sulfoquinovose monooxygenase,sulfo-ASMO
pdb|7OH2|B,squD,,lets take another query for sqvD ,,Xaviernesmea oryzae,464029.0,SquD,FMNH2-dependent monooxygenase for oxidative desulfurization of sulfoquinovose,Sulfo-ASMO
sp|A9CEY7|SQMOX_AGRFC,squD,smoC,,yes,Agrobacterium fabrum str. C58,176299.0,SquD,Sulfoquinovose monooxygenase,sulfo-ASMO
